Period,Δ (ms),β,t-stat,p-value,IC,R²,n
Open,10,0.145202763226033,87.38795885409186,0.0,0.18348142573364454,0.03366543358926766,219205
Open,100,0.181836152588448,65.13864953664628,0.0,0.13780101477288578,0.0189891196724431,219205
Open,1000,0.16919540382810874,23.960063512050578,1.0576126395428723e-126,0.05110892671073752,0.002612122389525795,219205
Open,5000,0.06093087621280766,3.7872829244364414,0.0001523442578439091,0.008088915422388822,6.543055271490683e-05,219205
Midday,10,0.1727951614558813,286.2847045904132,0.0,0.25967692540464965,0.06743210558760193,1133472
Midday,100,0.1973108568350819,219.42688408895705,0.0,0.2018604597636345,0.0407476452160086,1133472
Midday,1000,0.24850082711322685,122.51666061100363,0.0,0.1143229361205853,0.01306973372323017,1133472
Midday,5000,0.24546776652329477,58.26676598520312,0.0,0.0546470173024875,0.0029862965000447828,1133472
Close,10,0.15797098268007245,82.79370771042056,0.0,0.2266146250737364,0.0513541882973193,126628
Close,100,0.1846178274377243,56.4314753549283,0.0,0.1566269439617883,0.024531999574806007,126628
Close,1000,0.20981987112360756,32.53377715509297,3.217400941606097e-231,0.09104696810432573,0.008289550400983892,126628
Close,5000,0.37986470393540905,31.222360013418598,3.439257824386937e-213,0.08740554148192708,0.00763972868174001,126628
